date, package, version, count 
2023-04-28, @itwin/itwinui-react, 1.31.0, 1 
2023-04-28, @itwin/itwinui-react, 1.48.0, 2 
2023-04-28, @itwin/itwinui-react, 1.18.0, 1 
2023-04-28, @itwin/itwinui-react, 2.8.0, 1 
2023-04-28, @itwin/itwinui-react, 2.0.0, 2 
2023-04-28, @itwin/itwinui-react, 1.37.0, 1 
2023-04-28, @itwin/itwinui-react, 1.11.0, 3 
2023-04-28, @itwin/itwinui-react, 2.4.2, 2 
2023-04-28, @itwin/itwinui-react, 2.4.4, 3 
2023-04-28, @itwin/itwinui-react, 1.36.0, 3 
2023-04-28, @itwin/itwinui-react, 2.7.0, 3 
2023-04-28, @itwin/itwinui-react, 1.5.0, 1 
2023-04-28, @itwin/itwinui-react, 1.46.0, 1 
2023-04-28, @itwin/itwinui-react, 1.34.0, 1 
2023-04-28, @itwin/itwinui-react, 1.33.0, 1 
2023-04-28, @itwin/itwinui-react, 1.7.1, 1 
2023-04-28, @itwin/itwinui-react, 1.20.0, 1 
2023-04-28, @itwin/itwinui-react, 1.26.1, 1 
2023-04-28, @itwin/itwinui-react, 1.47.1, 2 
2023-04-28, @itwin/itwinui-react, 2.5.1, 1 
2023-04-28, @itwin/itwinui-react, 1.28.0, 2 
2023-04-28, @itwin/itwinui-react, 1.29.3, 1 
2023-04-28, @itwin/itwinui-react, 1.15.0, 1 
2023-04-28, @itwin/itwinui-react, 1.43.0, 1 
